2021-02-09 10:50:55 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2a0f1408 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:50:55 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@55932ea6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:50:55 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5f39a33e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:50:55 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8dad3e1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@507bbdc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4e4e346c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@47535d3e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ca2daa8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@52a3c4e0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@46a5fefa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
