2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34af72af (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3d25fa17 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@56fdfec6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6a7b296 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@49d282e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5b353c88 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6287f2e6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@598fdf22 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:11:41 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@497bb4e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b79dada (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@42287b91 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@62ad9711 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@68a24623 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4d9b1818 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4cee06c9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@42f5055a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@381cc079 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d5244ba (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:21:46 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@11b6d797 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 16:29:29 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-27 16:29:29 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-27 16:48:10 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-27 16:48:10 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1ac6fa72 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7fedf8ac (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2eaa26fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3a0e69c9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@dbe547 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@29517682 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10e35568 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@101b5c2b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
