2021-01-28 12:26:38 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3ffe33cb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:26:38 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@67aac6da (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:26:38 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@21c45f52 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:26:38 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7533d880 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a305029 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2090a500 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@136cf35b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34d0d66b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@68172aa6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4d0a2a01 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
