2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e18d9bcf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b5a981bb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@dfecd56 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@57196bff (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d518de35 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e2b295db (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7cb1b60f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@dfe2a9c0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:35:24 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b0c82d7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3f23daa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c3260f87 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3209278b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4317a3d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5b91a4ae (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@cbd7e1da (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f3956b6f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
