2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2a308e1b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5c48f00f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13ea5f5c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:56:26 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@37b4c356 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2898041 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@61f2e155 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4906690b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@163be30a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4cf69ff4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3a782776 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@404c5f03 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9a6c7b3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7157e04c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 00:59:57 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@aef3a87 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@175d097d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@261a1008 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2075bb7d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@225e932c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5d170e46 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b7bdfbc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@265827fd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@70c907e9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@15c94288 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:02:49 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@60bae9b2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3ff4f4c6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4d5801cb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1076d969 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@773402fb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@47d2b82c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4a89af44 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6c129aed (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3b667e4e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6927a2d6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:24:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e53c339 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1ef26171 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4d3b97e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5a72d695 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@67e5e32d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
