2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@18dab4a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:50:54 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@64b7d0d2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2235c56d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6de0a21 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@288f482c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@273f378a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@781092b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@717894f8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23646cd3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7d398c52 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@727e0a8f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:11:17 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@47948f6c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76fc3e05 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4aaa5019 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@210867fe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@32ce7dd1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8650788 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
