2021-01-22 19:37:19 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43a37af0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@77265f74 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b6d858d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5671de13 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@27b2be16 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@545255c4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23e4f32e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7b3d2007 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@494d7378 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f77e3e0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
