2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10ba84b5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53f4d5b3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@20d19c31 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3c473fbf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@49eb2cc9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@21d52054 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5cc65c3b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@230cf71f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2bd3b4aa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72c28504 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1c8b28e3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@58fb9062 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ebb1933 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
