2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e5584db (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@457c3141 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@31723aa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3faf81e6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d4eb994 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@99c7345 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33ac0baf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:13:04 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@70cf1c8d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@42f9d105 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5219c445 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@227e816c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@77cffd63 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@418798d2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5da0474b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b03d872 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@32f0894 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7e13512b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:25:41 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@21d6cbbd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
