2021-01-24 20:51:31 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b9b33e8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e588172 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@60c5b9bf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5143e6eb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13cd9856 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@71ac7561 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3ce932aa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72d3ff62 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d23d646 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1f36bdfe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:03:53 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6a3fb0d0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@14f81d45 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@557f7806 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@68f2541c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2e2d48d9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@26891bfe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@818f861 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72300fca (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@369ffad5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@58274113 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:17:44 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@17b37186 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2c0f75d3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@40b5bd7d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@79f9c8b8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@137a2de0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@27bbe258 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4a08ed87 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7d834076 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3f54670b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4705eb9b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:23:32 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4aec4229 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:54:58 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@414fdd4e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:54:58 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c1c41b3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 21:54:58 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4988151c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
