2021-01-27 19:02:57 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@376a5694 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:02:57 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6819c5bf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:02:57 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5182d3d5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:02:57 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b7abf8c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:02:57 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ec18681 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:02:57 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@48d392db (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5150a4cd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@559e5dd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2f0c608 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@434e8045 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
